account,amount,symbol
hafiz34,"1,293",ALIVEM
flaxz.alive,"0,582",ALIVEM
jlufer,"0,431",ALIVEM
bradleyarrow,"0,431",ALIVEM
benthomaswwd,"0,259",ALIVEM
hive-112281,"0,224",ALIVEM
darmst5339,"0,151",ALIVEM
noctury,"0,129",ALIVEM
davidthompson57,"0,109",ALIVEM
iamraincrystal,"0,108",ALIVEM
ironshield,"0,108",ALIVEM
imfarhad,"0,086",ALIVEM
alokkumar121,"0,086",ALIVEM
adysscheryl,"0,07",ALIVEM
hankanon,"0,065",ALIVEM
tydynrain,"0,06",ALIVEM
lightcaptured,"0,059",ALIVEM
hoosie,"0,055",ALIVEM
manuvert,"0,053",ALIVEM
pedrobrito2004,"0,033",ALIVEM
melinda010100,"0,033",ALIVEM
awah,"0,031",ALIVEM
palomap3,"0,028",ALIVEM
heruvim1978,"0,024",ALIVEM
ekushya,"0,022",ALIVEM
thoth442,"0,022",ALIVEM
chaosmagic23,"0,022",ALIVEM
beststart,"0,021",ALIVEM
voltz-blag,"0,021",ALIVEM
kam5iz,"0,02",ALIVEM
gondek,"0,018",ALIVEM
elyelma,"0,018",ALIVEM
moretea,"0,017",ALIVEM
cwow2,"0,015",ALIVEM
sagarkothari88,"0,016",ALIVEM
madame-cyntaia,"0,014",ALIVEM
chmoen,"0,012",ALIVEM
oasiskp2,"0,013",ALIVEM
theroad2freedom,"0,013",ALIVEM
iamjabez,"0,012",ALIVEM
myupvote2u,"0,011",ALIVEM
bambukah,"0,011",ALIVEM
heartbeatonhive,"0,011",ALIVEM
ana-maria,"0,011",ALIVEM
vocup,"0,011",ALIVEM
synergized,"0,01",ALIVEM
sammyhive,"0,01",ALIVEM
engilhramn,"0,011",ALIVEM
brando28,"0,009",ALIVEM
mario89,"0,008",ALIVEM
azkabananas,"0,007",ALIVEM
keechadkikali,"0,007",ALIVEM
kryptofire,"0,006",ALIVEM
gadrian,"0,007",ALIVEM
nomaddreamer,"0,006",ALIVEM
treefrognada,"0,006",ALIVEM
lifeskills-tv,"0,006",ALIVEM
buezor,"0,005",ALIVEM
alzee,"0,004",ALIVEM
karizma,"0,004",ALIVEM
fiberfrau,"0,005",ALIVEM
jmis101,"0,005",ALIVEM
hhayweaver,"0,006",ALIVEM
queercoin,"0,003",ALIVEM
eyewaa,"0,003",ALIVEM
amaari,"0,003",ALIVEM
elizabetamt,"0,002",ALIVEM
beeber,"0,002",ALIVEM
kevinnag58,"0,002",ALIVEM
efmm,"0,002",ALIVEM
caelum1infernum,"0,001",ALIVEM
onthemountain,"0,001",ALIVEM
