account,amount,symbol
adysscheryl,"0,053",ALIVEM
ironshield,"0,109",ALIVEM
bradleyarrow,"0,001",ALIVEM
manuvert,"0,039",ALIVEM
mario89,"0,002",ALIVEM
chapelle,"0,034",ALIVEM
stdd,"0,039",ALIVEM
yeckingo1,"0,031",ALIVEM
vocup,"0,154",ALIVEM
caelum1infernum,"0,012",ALIVEM
imfarhad,"0,001",ALIVEM
darmst5339,"0,036",ALIVEM
jacoalberts,"0,034",ALIVEM
noctury,"0,047",ALIVEM
hoosie,"0,004",ALIVEM
edgerik,"0,121",ALIVEM
karizma,"0,003",ALIVEM
benthomaswwd,"0,111",ALIVEM
davidxxl,"0,03",ALIVEM
engilhramn,"0,01",ALIVEM
mypathtofire,"0,113",ALIVEM
thoth442,"0,048",ALIVEM
heartbeatonhive,"0,053",ALIVEM
bearmol,"0,005",ALIVEM
myjob,"0,102",ALIVEM
littlebee4,"0,008",ALIVEM
jmis101,"0,045",ALIVEM
oasiskp2,"0,001",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,016",ALIVEM
siddhartaz,"0,107",ALIVEM
palomap3,"0,003",ALIVEM
olujose6,"0,005",ALIVEM
assassyn,"0,001",ALIVEM
neoxvoter,"0,002",ALIVEM
steem-holder,"0,01",ALIVEM
apoloo1,"0,002",ALIVEM
treefrognada,"0,013",ALIVEM
liotes.alive,"0,02",ALIVEM
heruvim1978,"0,001",ALIVEM
