account,amount,symbol
adysscheryl,"0,014",ALIVEM
ironshield,"0,133",ALIVEM
bradleyarrow,"0,108",ALIVEM
manuvert,"0,047",ALIVEM
mario89,"0,001",ALIVEM
chapelle,"0,051",ALIVEM
stdd,"0,053",ALIVEM
ana-maria,"0,012",ALIVEM
yeckingo1,"0,031",ALIVEM
vocup,"0,044",ALIVEM
caelum1infernum,"0,014",ALIVEM
imfarhad,"0,001",ALIVEM
darmst5339,"0,051",ALIVEM
jacoalberts,"0,02",ALIVEM
noctury,"0,058",ALIVEM
hoosie,"0,008",ALIVEM
edgerik,"0,123",ALIVEM
karizma,"0,009",ALIVEM
benthomaswwd,"0,118",ALIVEM
davidxxl,"0,045",ALIVEM
engilhramn,"0,009",ALIVEM
mypathtofire,"0,26",ALIVEM
chaosmagic23,"0,043",ALIVEM
heartbeatonhive,"0,043",ALIVEM
macfit,"0,03",ALIVEM
merthin,"0,075",ALIVEM
bearmol,"0,005",ALIVEM
littlebee4,"0,019",ALIVEM
jmis101,"0,061",ALIVEM
oasiskp2,"0,001",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,019",ALIVEM
palomap3,"0,002",ALIVEM
olujose6,"0,001",ALIVEM
assassyn,"0,002",ALIVEM
neoxvoter,"0,003",ALIVEM
steem-holder,"0,02",ALIVEM
treefrognada,"0,045",ALIVEM
liotes.alive,"0,04",ALIVEM
heruvim1978,"0,005",ALIVEM
sammyhive,"0,026",ALIVEM
ijelady,"0,053",ALIVEM
