account,amount,symbol
libertycrypto27,"65,6446",ALIVE
fantagira,"52,4138",ALIVE
duvinca,"2,8304",ALIVE
roninrelax,"48,1858",ALIVE
wandrnrose7,"26,607",ALIVE
dailyspam,"34,749",ALIVE
osomar357,"13,4303",ALIVE
queercoin,"13,4385",ALIVE
amakauz,"1,8603",ALIVE
emaxisonline,"29,7532",ALIVE
coquicoin,"17,1685",ALIVE
sigskeie1,"1,5045",ALIVE
tuisada,"0,1747",ALIVE
keechadkikali,"19,4439",ALIVE
jfang003,"4,7206",ALIVE
stewie.wieno,"153,1473",ALIVE
wanderingmoon,"9,0272",ALIVE
ssebasv,"5,402",ALIVE
ayhamyou,"0,4984",ALIVE
