account,amount,symbol
apoloo1,"140,5701",ALIVE
elyelma,"0,7668",ALIVE
amakauz,"0,7923",ALIVE
tuisada,"155,249",ALIVE
officialrosh1,"0,6181",ALIVE
jfang003,"0,4273",ALIVE
fantagira,"19,0621",ALIVE
franking1,"92,657",ALIVE
treefrognada,"0,9421",ALIVE
sammyhive,"46,2412",ALIVE
ijelady,"35,7558",ALIVE
nkemakonam89,"6,6091",ALIVE
chidiadi65,"0,1545",ALIVE
tagmout,"0,1545",ALIVE
