account,amount,symbol
flaxz.alive,"0,701",ALIVEM
jlufer,"0,519",ALIVEM
bradleyarrow,"0,519",ALIVEM
benthomaswwd,"0,311",ALIVEM
hive-112281,"0,27",ALIVEM
darmst5339,"0,155",ALIVEM
noctury,"0,142",ALIVEM
davidthompson57,"0,13",ALIVEM
ironshield,"0,13",ALIVEM
imfarhad,"0,104",ALIVEM
alokkumar121,"0,103",ALIVEM
adysscheryl,"0,083",ALIVEM
siddhartaz,"0,082",ALIVEM
hankanon,"0,078",ALIVEM
iamraincrystal,"0,068",ALIVEM
manuvert,"0,065",ALIVEM
hoosie,"0,063",ALIVEM
tydynrain,"0,056",ALIVEM
lightcaptured,"0,056",ALIVEM
pedrobrito2004,"0,039",ALIVEM
melinda010100,"0,039",ALIVEM
palomap3,"0,028",ALIVEM
heruvim1978,"0,028",ALIVEM
thoth442,"0,026",ALIVEM
chaosmagic23,"0,026",ALIVEM
beststart,"0,026",ALIVEM
voltz-blag,"0,026",ALIVEM
kam5iz,"0,023",ALIVEM
moretea,"0,021",ALIVEM
gondek,"0,02",ALIVEM
elyelma,"0,02",ALIVEM
captainloken,"0,018",ALIVEM
myupvote2u,"0,013",ALIVEM
bambukah,"0,013",ALIVEM
heartbeatonhive,"0,013",ALIVEM
ana-maria,"0,013",ALIVEM
vocup,"0,013",ALIVEM
madame-cyntaia,"0,011",ALIVEM
chmoen,"0,011",ALIVEM
evernoticethat,"0,01",ALIVEM
synergized,"0,01",ALIVEM
mario89,"0,01",ALIVEM
engilhramn,"0,009",ALIVEM
keechadkikali,"0,008",ALIVEM
oasiskp2,"0,008",ALIVEM
brando28,"0,006",ALIVEM
azkabananas,"0,007",ALIVEM
buezor,"0,005",ALIVEM
alzee,"0,005",ALIVEM
karizma,"0,005",ALIVEM
fiberfrau,"0,005",ALIVEM
eyewaa,"0,003",ALIVEM
amaari,"0,003",ALIVEM
elizabetamt,"0,003",ALIVEM
beeber,"0,003",ALIVEM
kevinnag58,"0,002",ALIVEM
bfciv,"0,001",ALIVEM
rzc24-nftbbg,"0,001",ALIVEM
caelum1infernum,"0,001",ALIVEM
stevermac1966,"0,001",ALIVEM
treefrognada,"0,001",ALIVEM
