account,amount,symbol
jmis101,"0,9423",ALIVE
esteva1820,"51,8493",ALIVE
oasiskp2,"0,2863",ALIVE
jfang003,"0,5466",ALIVE
olujose6,"1,598",ALIVE
littlebee4,"22,306",ALIVE
tagmout,"0,8329",ALIVE
tokutaro22,"3,4568",ALIVE
tuisada,"0,1074",ALIVE
amakauz,"3,439",ALIVE
alovely088,"0,3396",ALIVE
master-lamps,"414,2957",ALIVE
