account,amount,symbol
aliveprojects,"0,321",ALIVEM
flaxz.alive,"0,865",ALIVEM
jlufer,"0,641",ALIVEM
iamraincrystal,"0,084",ALIVEM
hive-112281,"0,332",ALIVEM
imfarhad,"0,08",ALIVEM
myupvote2u,"0,016",ALIVEM
alokkumar121,"0,128",ALIVEM
mypathtofire,"0,16",ALIVEM
benthomaswwd,"0,16",ALIVEM
buezor,"0,006",ALIVEM
davidthompson57,"0,15",ALIVEM
adysscheryl,"0,066",ALIVEM
ironshield,"0,161",ALIVEM
manuvert,"0,048",ALIVEM
bambukah,"0,01",ALIVEM
noctury,"0,128",ALIVEM
darmst5339,"0,097",ALIVEM
heartbeatonhive,"0,016",ALIVEM
tydynrain,"0,034",ALIVEM
elizabetamt,"0,003",ALIVEM
ana-maria,"0,013",ALIVEM
bradleyarrow,"0,641",ALIVEM
alzee,"0,007",ALIVEM
chaosmagic23,"0,032",ALIVEM
lightcaptured,"0,051",ALIVEM
hoosie,"0,067",ALIVEM
chmoen,"0,006",ALIVEM
beststart,"0,033",ALIVEM
vocup,"0,016",ALIVEM
soulsdetour,"0,008",ALIVEM
engilhramn,"0,003",ALIVEM
gondek,"0,018",ALIVEM
captainloken,"0,011",ALIVEM
madame-cyntaia,"0,01",ALIVEM
moretea,"0,025",ALIVEM
palomap3,"0,004",ALIVEM
keechadkikali,"0,008",ALIVEM
mario89,"0,008",ALIVEM
karizma,"0,003",ALIVEM
kevinnag58,"0,001",ALIVEM
thoth442,"0,027",ALIVEM
pedrobrito2004,"0,048",ALIVEM
eyewaa,"0,003",ALIVEM
hankanon,"0,096",ALIVEM
kam5iz,"0,008",ALIVEM
metzli,"0,003",ALIVEM
fiberfrau,"0,003",ALIVEM
