account,amount,symbol
tuisada,"0,0858",ALIVE
sammyhive,"9,3685",ALIVE
treefrognada,"0,2896",ALIVE
nkemakonam89,"0,2103",ALIVE
ijelady,"157,1515",ALIVE
chidiadi65,"0,3438",ALIVE
jfang003,"0,3715",ALIVE
herculeand,"1,7052",ALIVE
apoloo1,"34,1808",ALIVE
tagmout,"0,2579",ALIVE
fantagira,"18,7716",ALIVE
officialrosh1,"0,2579",ALIVE
alberto0607,"276,0128",ALIVE
amakauz,"0,9929",ALIVE
