account,amount,symbol
aliveprojects,"0,207",ALIVEM
flaxz.alive,"0,558",ALIVEM
jlufer,"0,414",ALIVEM
iamraincrystal,"0,053",ALIVEM
hive-112281,"0,215",ALIVEM
imfarhad,"0,052",ALIVEM
myupvote2u,"0,011",ALIVEM
alokkumar121,"0,083",ALIVEM
mypathtofire,"0,104",ALIVEM
benthomaswwd,"0,062",ALIVEM
buezor,"0,004",ALIVEM
davidthompson57,"0,029",ALIVEM
adysscheryl,"0,019",ALIVEM
ironshield,"0,104",ALIVEM
manuvert,"0,031",ALIVEM
bambukah,"0,006",ALIVEM
noctury,"0,079",ALIVEM
darmst5339,"0,062",ALIVEM
heartbeatonhive,"0,01",ALIVEM
tydynrain,"0,013",ALIVEM
elizabetamt,"0,002",ALIVEM
stevermac1966,"0,001",ALIVEM
ana-maria,"0,008",ALIVEM
bradleyarrow,"0,414",ALIVEM
caelum1infernum,"0,001",ALIVEM
alzee,"0,004",ALIVEM
chaosmagic23,"0,021",ALIVEM
lightcaptured,"0,03",ALIVEM
hoosie,"0,042",ALIVEM
chmoen,"0,003",ALIVEM
twicejoy,"0,006",ALIVEM
beststart,"0,021",ALIVEM
vocup,"0,01",ALIVEM
soulsdetour,"0,004",ALIVEM
engilhramn,"0,001",ALIVEM
gondek,"0,011",ALIVEM
captainloken,"0,005",ALIVEM
madame-cyntaia,"0,006",ALIVEM
moretea,"0,017",ALIVEM
palomap3,"0,001",ALIVEM
keechadkikali,"0,003",ALIVEM
mario89,"0,005",ALIVEM
karizma,"0,002",ALIVEM
kevinnag58,"0,001",ALIVEM
thoth442,"0,01",ALIVEM
