account,amount,symbol
wandrnrose7,"15,917",ALIVE
emaxisonline,"3,7657",ALIVE
osomar357,"77,8752",ALIVE
tuisada,"0,4763",ALIVE
dailyspam,"27,1171",ALIVE
jfang003,"0,4051",ALIVE
duvinca,"0,9727",ALIVE
queercoin,"14,2154",ALIVE
coquicoin,"19,4562",ALIVE
libertycrypto27,"36,2096",ALIVE
ssebasv,"12,9746",ALIVE
fantagira,"11,627",ALIVE
amakauz,"4,1425",ALIVE
wanderingmoon,"7,6546",ALIVE
keechadkikali,"16,4285",ALIVE
daddydog,"3,5653",ALIVE
sigskeie1,"2,0412",ALIVE
tagmout,"0,1248",ALIVE
stewie.wieno,"106,8664",ALIVE
herculeand,"138,1648",ALIVE
