account,amount,symbol
adysscheryl,"0,038",ALIVEM
ironshield,"0,022",ALIVEM
bradleyarrow,"0,005",ALIVEM
manuvert,"0,036",ALIVEM
mario89,"0,015",ALIVEM
chapelle,"0,017",ALIVEM
captainloken,"0,024",ALIVEM
stdd,"0,081",ALIVEM
ana-maria,"1,192",ALIVEM
yeckingo1,"0,008",ALIVEM
vocup,"0,005",ALIVEM
caelum1infernum,"0,033",ALIVEM
imfarhad,"0,011",ALIVEM
alzee,"0,021",ALIVEM
darmst5339,"0,006",ALIVEM
noctury,"0,041",ALIVEM
hoosie,"0,013",ALIVEM
edgerik,"0,013",ALIVEM
visual.alive,"0,028",ALIVEM
karizma,"0,04",ALIVEM
benthomaswwd,"0,015",ALIVEM
gurseerat,"0,029",ALIVEM
davidxxl,"0,03",ALIVEM
engilhramn,"0,005",ALIVEM
mypathtofire,"0,001",ALIVEM
chaosmagic23,"0,044",ALIVEM
