account,amount,symbol
adysscheryl,"0,032",ALIVEM
ironshield,"0,092",ALIVEM
bradleyarrow,"0,087",ALIVEM
manuvert,"0,032",ALIVEM
mario89,"0,003",ALIVEM
chapelle,"0,034",ALIVEM
stdd,"0,051",ALIVEM
yeckingo1,"0,036",ALIVEM
vocup,"0,01",ALIVEM
caelum1infernum,"0,012",ALIVEM
imfarhad,"0,098",ALIVEM
darmst5339,"0,062",ALIVEM
jacoalberts,"0,01",ALIVEM
noctury,"0,048",ALIVEM
hoosie,"0,008",ALIVEM
edgerik,"0,118",ALIVEM
karizma,"0,008",ALIVEM
benthomaswwd,"0,03",ALIVEM
gurseerat,"0,388",ALIVEM
davidxxl,"0,056",ALIVEM
engilhramn,"0,007",ALIVEM
mypathtofire,"0,001",ALIVEM
bechibenner,"0,004",ALIVEM
kam5iz,"0,009",ALIVEM
heartbeatonhive,"0,003",ALIVEM
master-lamps,"0,004",ALIVEM
bearmol,"0,001",ALIVEM
myjob,"0,039",ALIVEM
littlebee4,"0,034",ALIVEM
jmis101,"0,076",ALIVEM
oasiskp2,"0,063",ALIVEM
alovely088,"0,001",ALIVEM
awah,"0,034",ALIVEM
palomap3,"0,002",ALIVEM
assassyn,"0,002",ALIVEM
neoxvoter,"0,002",ALIVEM
steem-holder,"0,014",ALIVEM
apoloo1,"0,146",ALIVEM
treefrognada,"0,018",ALIVEM
liotes.alive,"0,03",ALIVEM
heruvim1978,"0,007",ALIVEM
sammyhive,"0,038",ALIVEM
ijelady,"0,076",ALIVEM
esteva1820,"0,016",ALIVEM
hafiz34,"0,159",ALIVEM
